Date,Hour,Street,Average
25/1/2017,10,Birrarung Marr,1864
25/1/2017,11,Bourke Street Mall (North),2429
25/1/2017,12,Southbank,3865
25/1/2017,13,Bourke Street Mall (South),4279
25/1/2017,14,Bourke Street Mall (South),3331
25/1/2017,15,Bourke Street Mall (South),3256
25/1/2017,16,Spencer St-Collins St (North),3262
25/1/2017,17,Southbank,5229
25/1/2017,18,Southbank,4100
25/1/2017,19,Southbank,3065
25/1/2017,20,Southbank,2541
25/1/2017,21,Southbank,2144
26/1/2017,10,Princes Bridge,2637
26/1/2017,11,Princes Bridge,5915
26/1/2017,12,Princes Bridge,5018
26/1/2017,13,Princes Bridge,4448
26/1/2017,14,Princes Bridge,3949
26/1/2017,15,Southbank,4272
26/1/2017,16,Birrarung Marr,3384
26/1/2017,17,Southbank,3937
26/1/2017,18,Birrarung Marr,4089
26/1/2017,19,New Quay,3490
26/1/2017,20,New Quay,3961
26/1/2017,21,New Quay,3478
27/1/2017,10,Southbank,1810
27/1/2017,11,Bourke Street Mall (North),2766
27/1/2017,12,Southbank,3886
27/1/2017,13,Southbank,4055
27/1/2017,14,Southbank,3619
27/1/2017,15,Southbank,3515
27/1/2017,16,Southbank,3767
27/1/2017,17,Southbank,4596
27/1/2017,18,Southbank,4052
27/1/2017,19,Southbank,3789
27/1/2017,20,Southbank,3639
27/1/2017,21,Southbank,3415
28/1/2017,10,Southbank,1953
28/1/2017,11,Southbank,2835
28/1/2017,12,Southbank,3614
28/1/2017,13,Southbank,4274
28/1/2017,14,Southbank,4528
28/1/2017,15,Southbank,4782
28/1/2017,16,Southbank,4716
28/1/2017,17,Southbank,4843
28/1/2017,18,Southbank,4229
28/1/2017,19,Southbank,5547
28/1/2017,20,Southbank,5219
28/1/2017,21,Southbank,4873
29/1/2017,10,Vic Arts Centre,2129
29/1/2017,11,Southbank,3074
29/1/2017,12,Southbank,3966
29/1/2017,13,Southbank,4553
29/1/2017,14,Southbank,4961
29/1/2017,15,Southbank,4724
29/1/2017,16,Southbank,4646
29/1/2017,17,Southbank,3849
29/1/2017,18,Southbank,3444
29/1/2017,19,Birrarung Marr,3355
29/1/2017,20,Southbank,2948
29/1/2017,21,Southbank,2427
30/1/2017,10,Spencer St-Collins St (North),1670
30/1/2017,11,Bourke Street Mall (North),1905
30/1/2017,12,Bourke Street Mall (North),3016
30/1/2017,13,Bourke Street Mall (North),3190
30/1/2017,14,Bourke Street Mall (North),2547
30/1/2017,15,Bourke Street Mall (North),2407
30/1/2017,16,Spencer St-Collins St (North),3021
30/1/2017,17,Flinders St Station Underpass,4778
30/1/2017,18,Southbank,3041
30/1/2017,19,Southbank,2157
30/1/2017,20,Melbourne Central,1540
30/1/2017,21,Melbourne Central,1008
31/1/2017,10,Spencer St-Collins St (North),1461
31/1/2017,11,Bourke Street Mall (North),1998
31/1/2017,12,Southbank,3414
31/1/2017,13,Southbank,3369
31/1/2017,14,Bourke Street Mall (North),2851
31/1/2017,15,Bourke Street Mall (North),2610
31/1/2017,16,Spencer St-Collins St (North),3203
31/1/2017,17,Flinders St Station Underpass,5032
31/1/2017,18,Southbank,3353
31/1/2017,19,Southbank,2509
31/1/2017,20,Southbank,2065
31/1/2017,21,Southbank,1892
1/2/2017,10,Spencer St-Collins St (North),1725
1/2/2017,11,Bourke Street Mall (North),1846
1/2/2017,12,Southbank,3153
1/2/2017,13,Bourke Street Mall (South),3243
1/2/2017,14,Bourke Street Mall (South),2414
1/2/2017,15,Bourke Street Mall (North),2485
1/2/2017,16,Southbank,3258
1/2/2017,17,Southbank,5570
1/2/2017,18,Southbank,4102
1/2/2017,19,Southbank,3404
1/2/2017,20,Southbank,2438
1/2/2017,21,Southbank,1765
2/2/2017,10,Spencer St-Collins St (North),1554
2/2/2017,11,Bourke Street Mall (North),1892
2/2/2017,12,Southbank,3632
2/2/2017,13,Bourke Street Mall (South),3613
2/2/2017,14,Bourke Street Mall (North),2797
2/2/2017,15,Bourke Street Mall (North),2938
2/2/2017,16,Spencer St-Collins St (North),3308
2/2/2017,17,Flinders St Station Underpass,5078
2/2/2017,18,Southbank,3725
2/2/2017,19,Southbank,2633
2/2/2017,20,Southbank,2199
2/2/2017,21,Southbank,2004
3/2/2017,10,Southbank,1695
3/2/2017,11,Bourke Street Mall (North),2448
3/2/2017,12,Bourke Street Mall (North),3612
3/2/2017,13,Bourke Street Mall (North),3894
3/2/2017,14,Bourke Street Mall (North),3040
3/2/2017,15,Bourke Street Mall (North),3008
3/2/2017,16,Spencer St-Collins St (North),3392
3/2/2017,17,Flinders St Station Underpass,5145
3/2/2017,18,Southbank,4125
3/2/2017,19,Southbank,3446
3/2/2017,20,Southbank,3455
3/2/2017,21,Southbank,3341
4/2/2017,10,Southbank,1662
4/2/2017,11,Bourke Street Mall (North),2341
4/2/2017,12,Bourke Street Mall (North),2985
4/2/2017,13,Bourke Street Mall (North),3106
4/2/2017,14,Bourke Street Mall (North),3258
4/2/2017,15,Bourke Street Mall (North),3244
4/2/2017,16,Bourke Street Mall (North),2847
4/2/2017,17,Southbank,3021
4/2/2017,18,Southbank,3241
4/2/2017,19,Southbank,4076
4/2/2017,20,Southbank,3997
4/2/2017,21,Southbank,3993
5/2/2017,10,Southbank,1597
5/2/2017,11,Southbank,2245
5/2/2017,12,Southbank,2463
5/2/2017,13,Southbank,2832
5/2/2017,14,Southbank,3202
5/2/2017,15,Southbank,3017
5/2/2017,16,Southbank,3225
5/2/2017,17,Southbank,2352
5/2/2017,18,Southbank,1501
5/2/2017,19,Melbourne Central,1318
5/2/2017,20,Melbourne Central,905
5/2/2017,21,Melbourne Central,669
6/2/2017,10,Princes Bridge,1962
6/2/2017,11,Bourke Street Mall (North),1725
6/2/2017,12,Southbank,2861
6/2/2017,13,Bourke Street Mall (South),2799
6/2/2017,14,Bourke Street Mall (North),2271
6/2/2017,15,Bourke Street Mall (South),2290
6/2/2017,16,Spencer St-Collins St (North),3266
6/2/2017,17,Flinders St Station Underpass,4898
6/2/2017,18,Flinders St Station Underpass,3078
6/2/2017,19,Southbank,2047
6/2/2017,20,Southbank,1638
6/2/2017,21,Southbank,1494
7/2/2017,10,Southbank,1767
7/2/2017,11,Southbank,2157
7/2/2017,12,Southbank,3667
7/2/2017,13,Southbank,3641
7/2/2017,14,Bourke Street Mall (North),2954
7/2/2017,15,Bourke Street Mall (North),2989
7/2/2017,16,Spencer St-Collins St (North),3450
7/2/2017,17,Flinders St Station Underpass,5240
7/2/2017,18,Southbank,3579
7/2/2017,19,Southbank,2511
7/2/2017,20,Southbank,2268
7/2/2017,21,Southbank,1976
8/2/2017,10,Spencer St-Collins St (North),1733
8/2/2017,11,Bourke Street Mall (North),1947
8/2/2017,12,Bourke Street Mall (North),3271
8/2/2017,13,Bourke Street Mall (North),3372
8/2/2017,14,Bourke Street Mall (North),2713
8/2/2017,15,Bourke Street Mall (North),2744
8/2/2017,16,Spencer St-Collins St (North),3365
8/2/2017,17,Flinders St Station Underpass,4832
8/2/2017,18,Flinders St Station Underpass,3201
8/2/2017,19,Southbank,2438
8/2/2017,20,Melbourne Central,1919
8/2/2017,21,Southbank,2197
