date,street,average
9/1/2017,QV Market-Peel St,135.42
9/2/2017,Waterfront City,18.21
9/3/2017,Waterfront City,17.13
9/4/2017,Waterfront City,7.42
9/5/2017,Waterfront City,4.92
9/6/2017,Waterfront City,7.33
9/7/2017,Waterfront City,6.08
9/8/2017,Waterfront City,7.13
9/9/2017,Victoria Point,59.38
9/10/2017,Victoria Point,43.08
9/11/2017,QV Market-Peel St,80.04
9/12/2017,QV Market-Peel St,108.50
9/13/2017,New Quay,113.21
9/14/2017,QV Market-Peel St,122.75
9/15/2017,New Quay,119.71
9/16/2017,Victoria Point,55.54
9/17/2017,Alfred Place,62.13
9/18/2017,Lygon Street (East),112.38
9/19/2017,QV Market-Peel St,124.79
9/20/2017,Flinders St-Spark Lane,156.08
9/21/2017,Tin Alley-Swanston St (West),146.58
9/22/2017,Flinders St-Spark Lane,181.79
9/23/2017,Flinders St-Spring St (West),112.96
9/24/2017,Alfred Place,73.75
9/25/2017,New Quay,117.04
9/26/2017,Lygon Street (East),144.63
9/27/2017,Flinders St-Spark Lane,167.13
9/28/2017,Lygon Street (East),175.88
9/29/2017,Alfred Place,109.29
9/30/2017,Monash Rd-Swanston St (West),79.83
10/1/2017,Alfred Place,68.42
10/2/2017,Flinders St-Spark Lane,138.88
10/3/2017,Tin Alley-Swanston St (West),159.67
10/4/2017,Tin Alley-Swanston St (West),161.42
10/5/2017,Tin Alley-Swanston St (West),144.38
10/6/2017,Lygon Street (East),142.42
10/7/2017,Flinders St-Spring St (West),104.17
10/8/2017,Collins Place (North),65.08
10/9/2017,Flinders St-Spark Lane,130.50
10/10/2017,Flinders St-Spark Lane,155.42
10/11/2017,New Quay,124.42
10/12/2017,Tin Alley-Swanston St (West),149.54
10/13/2017,Lygon Street (East),152.00
10/14/2017,Alfred Place,108.29
10/15/2017,Tin Alley-Swanston St (West),74.08
10/16/2017,Tin Alley-Swanston St (West),145.04
10/17/2017,Tin Alley-Swanston St (West),146.13
10/18/2017,Tin Alley-Swanston St (West),148.04
