"date","street","average"
"9/23/2017","Southbank","3563.50"
"9/24/2017","Southbank","2281.33"
"9/25/2017","Flinders St-Elizabeth St (East)","2446.17"
"9/26/2017","Southbank","2936.75"
"9/27/2017","Southbank","2917.17"
"9/28/2017","Southbank","2927.50"
"9/29/2017","Southbank","3319.33"
"9/30/2017","Birrarung Marr","3254.50"
"10/1/2017","Southbank","2485.25"
"10/2/2017","Southbank","2777.50"
"10/3/2017","Southbank","3021.33"
"10/4/2017","Southbank","3242.92"
"10/5/2017","Southbank","2584.42"
"10/6/2017","Southbank","3237.50"
"10/7/2017","Southbank","3410.33"
"10/8/2017","Southbank","2593.08"
"10/9/2017","Southbank","2247.83"
"10/10/2017","Southbank","2685.83"
"10/11/2017","Spencer St-Collins St (North)","2318.58"
"10/12/2017","Southbank","2495.33"
"10/13/2017","Southbank","2869.67"
"10/14/2017","Southbank","3729.00"
"10/15/2017","Southbank","3064.08"
"10/16/2017","Southbank","2626.92"
"10/17/2017","Southbank","2808.33"
"10/18/2017","Southbank","2739.67"
"10/19/2017","Town Hall (West)","2263.17"
"10/20/2017","Southbank","3054.00"
"10/21/2017","Southbank","2619.75"
"10/22/2017","Southbank","2104.17"
"10/23/2017","Southbank","2644.08"
"10/24/2017","Flinders St-Elizabeth St (East)","2436.58"
"10/25/2017","Southbank","2408.58"
"10/26/2017","Town Hall (West)","2511.58"
"10/27/2017","Southbank","3644.42"
"10/28/2017","Southbank","3007.67"
"10/29/2017","Southbank","2762.17"
"10/30/2017","Flinders St-Elizabeth St (East)","2394.92"
"10/31/2017","Flinders St-Elizabeth St (East)","2555.58"
"11/1/2017","Flinders St-Elizabeth St (East)","2393.33"
"11/2/2017","Southbank","2506.42"
"11/3/2017","Southbank","2797.50"
"11/4/2017","Princes Bridge","3198.75"
"11/5/2017","Southbank","2967.50"
"11/6/2017","Princes Bridge","3292.33"
"11/7/2017","Southbank","2284.67"
"11/8/2017","Southbank","3036.33"
"11/9/2017","Southbank","2942.58"
"11/10/2017","Southbank","3449.08"
"11/11/2017","Southbank","3350.67"
"11/12/2017","Southbank","2699.00"
"11/13/2017","Southbank","2672.25"
"11/14/2017","Southbank","2749.75"
"11/15/2017","Southbank","2567.33"
"11/16/2017","Bourke Street Mall (North)","2629.75"
"11/17/2017","Southbank","3532.17"
"11/18/2017","Bourke Street Mall (North)","2998.42"
"11/19/2017","Southbank","3244.33"
"11/20/2017","Southbank","2718.58"
"11/21/2017","Southbank","2819.75"
"11/22/2017","Southbank","2798.17"
"11/23/2017","Town Hall (West)","2758.33"
"11/24/2017","Town Hall (West)","3636.58"
"11/25/2017","Southbank","3074.17"
"11/26/2017","Town Hall (West)","2511.00"
"11/27/2017","Southbank","2869.08"
"11/28/2017","Southbank","2950.08"
"11/29/2017","Flinders St-Elizabeth St (East)","2607.08"
"11/30/2017","Southbank","2733.75"
"12/1/2017","Town Hall (West)","2375.00"
"12/2/2017","Bourke Street Mall (North)","2048.42"
"12/3/2017","Bourke Street Mall (North)","2161.00"
"12/4/2017","Town Hall (West)","2562.25"
"12/5/2017","Southbank","2847.50"
"12/6/2017","Bourke Street Mall (North)","3103.67"
"12/7/2017","Town Hall (West)","2731.83"
"12/8/2017","Southbank","3789.58"
"12/9/2017","Southbank","3501.92"
"12/10/2017","Southbank","3152.42"
"12/11/2017","Southbank","3091.42"
"12/12/2017","Southbank","3185.42"
"12/13/2017","Town Hall (West)","2869.25"
"12/14/2017","Southbank","3315.75"
"12/15/2017","Southbank","4182.67"
"12/16/2017","Southbank","3730.83"
"12/17/2017","Southbank","3323.58"
"12/18/2017","Town Hall (West)","3048.25"
"12/19/2017","Town Hall (West)","2825.92"
"12/20/2017","Town Hall (West)","3357.58"
"12/21/2017","Town Hall (West)","3674.00"
"12/22/2017","Southbank","3989.17"
"12/23/2017","Southbank","3155.67"
"12/24/2017","Southbank","3326.67"
"12/25/2017","Southbank","3253.75"
"12/26/2017","Bourke Street Mall (South)","4101.25"
"12/27/2017","Southbank","3141.67"
"12/28/2017","Southbank","3218.17"
"12/29/2017","Southbank","2498.33"
"12/30/2017","Southbank","3325.75"
"12/31/2017","Southbank","4646.42"
